alter,automarke,modell,preis,geschlecht
33,BMW,X5,29811,Weiblich
31,Skoda,Superb,13731,Weiblich
33,Honda,Civic,23564,Weiblich
33,Volvo,V90,47888,Männlich
68,Honda,CR-V,19960,Männlich
63,Mitsubishi,Outlander,27137,Männlich
47,Mercedes,GLS,130675,Männlich
54,Hyundai,i10,31173,Männlich
41,Hyundai,Tucson,11344,Weiblich
71,Mitsubishi,Space Star,24701,Weiblich
75,Kia,Seltos,18804,Weiblich
52,Peugeot,5008,26854,Männlich
37,Volkswagen,Polo,26094,Weiblich
42,Land Rover,Evoque,33485,Weiblich
32,Skoda,Superb,13410,Weiblich
38,BMW Motorrad,F900R,21372,Weiblich
77,Toyota,Camry,28100,Weiblich
54,Tesla,Model 3,37851,Weiblich
26,Mitsubishi,L200,8812,Weiblich
70,BMW Motorrad,R1250GS,11712,Männlich
28,Citroen,C5,7758,Männlich
52,Volkswagen,ID.3,56822,Männlich
16,Opel,Insignia,18750,Männlich
58,Jeep,Compass,24012,Weiblich
49,Alfa Romeo,MiTo,70513,Weiblich
61,Opel,Insignia,26733,Männlich
28,Honda,HR-V,13015,Weiblich
39,Honda,HR-V,21050,Weiblich
32,Mazda,Mazda3,38555,Weiblich
79,BMW Motorrad,S1000RR,23801,Weiblich
31,Skoda,Octavia,40548,Männlich
37,Peugeot,3008,23416,Weiblich
49,Peugeot,3008,13152,Weiblich
60,Mitsubishi,Space Star,28350,Weiblich
72,Kia,Niro,12656,Weiblich
29,Audi,A4,106252,Weiblich
69,Peugeot,5008,29339,Männlich
32,Skoda,Kamiq,16454,Männlich
75,Land Rover,Defender,87024,Männlich
63,Peugeot,508,21618,Weiblich
80,Volkswagen,ID.4,61456,Weiblich
50,Honda,CR-V,20190,Männlich
29,Volvo,XC90,18179,Weiblich
72,Alfa Romeo,Stelvio,69147,Männlich
48,Honda,Jazz,17313,Weiblich
45,Skoda,Superb,18898,Weiblich
39,Peugeot,3008,27263,Weiblich
79,Peugeot,3008,6569,Männlich
34,Hyundai,Kona,29554,Weiblich
29,Citroen,C3,5189,Weiblich
68,Hyundai,i10,26368,Weiblich
52,Citroen,C5 Aircross,32069,Weiblich
20,Land Rover,Evoque,67892,Weiblich
47,BMW,5er,49487,Weiblich
51,Land Rover,Evoque,119903,Männlich
48,Mitsubishi,Space Star,28706,Männlich
26,Honda,Accord,29572,Weiblich
23,Jeep,Renegade,44038,Männlich
68,BMW,3er,33217,Weiblich
35,Mercedes,GLE,33314,Weiblich
47,Peugeot,Partner,21870,Männlich
21,Peugeot,208,19095,Männlich
49,Subaru,Impreza,29116,Weiblich
77,Mazda,CX-5,20093,Weiblich
61,Jeep,Cherokee,38914,Männlich
80,Porsche,911,115754,Männlich
18,Jeep,Grand Cherokee,48543,Weiblich
15,Alfa Romeo,Stelvio,21422,Männlich
52,Land Rover,Defender,37144,Männlich
69,Land Rover,Evoque,76086,Weiblich
46,Land Rover,Range Rover,43296,Weiblich
70,Mazda,Mazda2,22732,Weiblich
77,Hyundai,i30,14804,Weiblich
69,Mazda,Mazda2,22210,Männlich
72,Opel,Insignia,14227,Weiblich
58,Toyota,RAV4,33567,Männlich
26,Land Rover,Discovery,82646,Weiblich
57,Nissan,Qashqai,42893,Männlich
64,Skoda,Kodiaq,26636,Männlich
75,Honda,Accord,8314,Männlich
18,Skoda,Fabia,30945,Männlich
49,Jeep,Grand Cherokee,40441,Weiblich
18,Tesla,Model X,73829,Männlich
17,BMW,X5,76584,Weiblich
37,Ford,Fiesta,28940,Männlich
23,Opel,Mokka,19722,Männlich
67,Land Rover,Evoque,99663,Männlich
67,Ford,Edge,39167,Männlich
54,Porsche,Taycan,119816,Männlich
58,Porsche,Macan,188933,Männlich
18,Opel,Insignia,13396,Weiblich
61,Renault,Clio,5652,Weiblich
71,Citroen,C3 Aircross,5141,Männlich
47,BMW Motorrad,F900R,9587,Männlich
41,BMW,2er,29944,Weiblich
62,Porsche,911,174850,Männlich
63,Opel,Insignia,28659,Männlich
71,Mazda,Mazda3,17657,Weiblich
28,Honda,HR-V,11798,Männlich
24,Volkswagen,Touran,17714,Männlich
78,Peugeot,5008,26333,Männlich
50,Audi,A5,78098,Männlich
15,Volvo,XC60,64963,Weiblich
18,Kia,Sportage,9016,Weiblich
79,Opel,Mokka,25610,Weiblich
49,Subaru,Impreza,31141,Männlich
70,Volkswagen,Tiguan,48282,Weiblich
55,Peugeot,Partner,29594,Männlich
34,Land Rover,Discovery,75873,Männlich
66,Audi,A8,83858,Männlich
75,Ford,Fiesta,25353,Männlich
36,Mitsubishi,L200,23522,Weiblich
63,Tesla,Model S,32467,Männlich
26,Jeep,Cherokee,38455,Weiblich
31,Honda,Accord,30147,Männlich
31,Volvo,XC60,40908,Weiblich
30,Mitsubishi,ASX,36476,Männlich
52,Hyundai,Tucson,24457,Männlich
22,Hyundai,Nexo,34677,Weiblich
63,Peugeot,3008,28708,Weiblich
47,Subaru,Outback,24989,Weiblich
56,Land Rover,Range Rover,90389,Weiblich
49,BMW,5er,43957,Weiblich
39,Alfa Romeo,Giulia,62037,Männlich
25,Mercedes,GLA,140849,Weiblich
58,Toyota,Land Cruiser,47730,Männlich
21,Volvo,XC90,24887,Weiblich
30,BMW,2er,102716,Männlich
53,Ford,Mustang,13716,Weiblich
51,Opel,Corsa,16461,Weiblich
17,Audi,Q3,103992,Männlich
61,Peugeot,208,12238,Weiblich
39,Peugeot,508,27037,Weiblich
45,Honda,CR-V,23930,Weiblich
35,Tesla,Model X,31424,Weiblich
40,Peugeot,Partner,14647,Weiblich
66,Toyota,Camry,14644,Männlich
33,Renault,Captur,20285,Männlich
66,Kia,Stonic,39363,Männlich
47,Mazda,Mazda3,24642,Weiblich
76,Toyota,Land Cruiser,54442,Weiblich
62,Tesla,Model Y,49175,Männlich
47,Hyundai,Nexo,31717,Weiblich
17,Nissan,Juke,18600,Weiblich
65,Mercedes,GLS,126982,Männlich
37,Opel,Corsa,24577,Weiblich
56,Porsche,Cayenne,99872,Männlich
47,Porsche,Taycan,80868,Weiblich
56,Hyundai,Santa Fe,42696,Weiblich
76,Mitsubishi,ASX,26454,Männlich
76,Hyundai,i20,36275,Männlich
56,Skoda,Octavia,22274,Männlich
26,Opel,Zafira,21687,Männlich
36,Porsche,Taycan,167950,Männlich
38,Mitsubishi,ASX,25876,Weiblich
73,Renault,Koleos,14085,Männlich
34,Kia,Seltos,17769,Männlich
61,BMW,X6,48652,Männlich
16,Tesla,Model X,29824,Weiblich
39,Jeep,Cherokee,50116,Weiblich
73,Honda,CR-V,15840,Männlich
59,Porsche,Taycan,81937,Männlich
73,Hyundai,Nexo,40705,Weiblich
49,Kia,Ceed,32453,Weiblich
33,Jeep,Compass,48576,Weiblich
70,Volvo,XC90,53137,Weiblich
20,Jeep,Wrangler,33252,Männlich
58,Audi,A1,63415,Männlich
21,Volvo,V90,68682,Weiblich
39,Volvo,V90,45088,Männlich
79,BMW Motorrad,R1200GS,22754,Weiblich
19,Subaru,XV,11697,Männlich
15,Mercedes,B-Klasse,144605,Weiblich
77,BMW,5er,82360,Männlich
17,Nissan,X-Trail,49026,Weiblich
26,Jeep,Grand Cherokee,38236,Männlich
45,Kia,Sportage,25450,Weiblich
53,Hyundai,i30,25494,Männlich
52,BMW Motorrad,F900R,22919,Weiblich
80,Ford,Fiesta,16294,Männlich
40,Nissan,Juke,11801,Männlich
15,Audi,A5,24355,Weiblich
18,Mercedes,A-Klasse,18510,Weiblich
80,Volkswagen,Touareg,67682,Weiblich
30,Renault,Clio,27173,Männlich
48,Tesla,Model S,78189,Männlich
78,Mazda,Mazda3,13794,Männlich
80,Citroen,C3,7130,Weiblich
29,Jeep,Grand Cherokee,22391,Weiblich
41,Volkswagen,Passat,64076,Männlich
32,Toyota,Corolla,15740,Weiblich
62,BMW,X6,73009,Männlich
79,Land Rover,Discovery,43194,Weiblich
64,Land Rover,Evoque,44914,Weiblich
18,Citroen,C5,25143,Männlich
52,Kia,Rio,31423,Männlich
60,Peugeot,5008,15545,Männlich
42,Land Rover,Defender,117975,Männlich
78,Kia,Rio,20148,Weiblich
79,Honda,HR-V,31956,Männlich
62,Jeep,Wrangler,40114,Weiblich
56,Land Rover,Evoque,62220,Männlich
72,Porsche,Cayenne,96370,Männlich
36,BMW,7er,39646,Weiblich
64,BMW,Z4,92967,Männlich
23,Mazda,CX-5,31449,Männlich
27,Subaru,Outback,32250,Männlich
34,Mazda,Mazda3,32496,Männlich
29,Land Rover,Range Rover,99576,Männlich
32,Mercedes,AMG GT,31171,Männlich
55,Opel,Insignia,23981,Weiblich
17,Land Rover,Defender,49447,Männlich
41,BMW Motorrad,R1250GS,11881,Männlich
58,Kia,Seltos,8057,Männlich
39,Audi,A1,104756,Männlich
47,Citroen,C3 Aircross,28367,Weiblich
36,Tesla,Model 3,76254,Weiblich
58,Mitsubishi,Space Star,37462,Männlich
79,Opel,Corsa,16460,Männlich
80,Skoda,Kodiaq,43597,Weiblich
57,Mitsubishi,Space Star,14635,Weiblich
39,Mazda,Mazda3,30118,Weiblich
52,Opel,Zafira,26681,Männlich
69,BMW,i4,91576,Männlich
72,Subaru,Impreza,10250,Männlich
52,Subaru,Forester,22155,Männlich
63,Mazda,Mazda6,13249,Männlich
45,Kia,Sportage,40217,Männlich
58,Audi,Q3,44799,Männlich
23,Citroen,C3,31431,Männlich
71,Porsche,Macan,155499,Weiblich
50,Citroen,C3,7066,Weiblich
71,Renault,Koleos,19203,Männlich
51,Audi,A5,87057,Männlich
34,Opel,Grandland,17333,Weiblich
31,Alfa Romeo,MiTo,32063,Weiblich
33,Peugeot,508,21765,Männlich
18,Citroen,C4,34557,Männlich
47,Land Rover,Defender,32281,Männlich
55,Jeep,Grand Cherokee,54916,Weiblich
41,BMW Motorrad,R1250GS,12362,Weiblich
36,Nissan,Qashqai,24938,Männlich
71,Alfa Romeo,Giulia,46263,Männlich
59,Mazda,Mazda3,37764,Männlich
64,Alfa Romeo,Stelvio,64521,Weiblich
63,Porsche,Panamera,169138,Weiblich
60,Volkswagen,Golf,66573,Männlich
77,Skoda,Kamiq,19853,Weiblich
34,Volvo,V90,51024,Männlich
74,Nissan,Qashqai,47308,Männlich
73,Ford,Kuga,15989,Weiblich
76,Toyota,Yaris,22723,Weiblich
78,Audi,A7,32214,Männlich
32,Toyota,C-HR,47672,Weiblich
64,Alfa Romeo,MiTo,45819,Weiblich
48,Peugeot,208,26227,Männlich
23,Jeep,Renegade,40526,Männlich
80,Land Rover,Evoque,55961,Weiblich
79,Ford,Fiesta,39870,Weiblich
72,Hyundai,i30,38678,Weiblich
48,Nissan,Leaf,25113,Weiblich
59,Kia,Ceed,35199,Weiblich
60,Nissan,Leaf,30247,Weiblich
51,BMW Motorrad,F900R,15605,Weiblich
41,Audi,Q8,107472,Weiblich
62,Mercedes,S-Klasse,115167,Weiblich
80,Opel,Zafira,19242,Weiblich
32,Audi,A6,93219,Weiblich
58,Land Rover,Range Rover,70476,Männlich
61,Porsche,911,159400,Männlich
51,Volvo,S60,60222,Weiblich
59,Opel,Grandland,15731,Weiblich
20,Alfa Romeo,Giulietta,22969,Männlich
60,Porsche,Panamera,113430,Männlich
30,Honda,CR-V,33428,Männlich
29,Volvo,S60,17288,Männlich
70,Subaru,Forester,21282,Weiblich
66,Mitsubishi,Space Star,38275,Männlich
25,Volkswagen,Touran,22083,Weiblich
39,Alfa Romeo,Giulia,68321,Weiblich
70,Nissan,Micra,42668,Männlich
71,Mitsubishi,Outlander,20343,Männlich
47,BMW Motorrad,R1200GS,13718,Männlich
17,Hyundai,i20,20092,Weiblich
29,Mazda,Mazda2,27931,Weiblich
60,Citroen,C5 Aircross,15574,Männlich
61,Citroen,C4,28013,Männlich
41,Alfa Romeo,Giulia,67330,Männlich
20,Opel,Astra,9998,Weiblich
80,Mercedes,GLC,142238,Weiblich
62,Mazda,Mazda6,21565,Weiblich
28,Mazda,Mazda6,27899,Männlich
42,Opel,Mokka,23609,Weiblich
47,Mazda,Mazda3,17431,Männlich
76,Nissan,Leaf,8845,Weiblich
34,Ford,Kuga,32695,Weiblich
79,Porsche,Macan,171848,Weiblich
17,Mazda,Mazda2,29049,Weiblich
41,Opel,Grandland,10481,Männlich
57,Tesla,Model 3,50104,Männlich
61,Opel,Mokka,14371,Männlich
37,Citroen,C4,10517,Weiblich
27,Mitsubishi,ASX,7431,Weiblich
70,Skoda,Kodiaq,28668,Männlich
68,Renault,Clio,34359,Männlich
46,Kia,Stonic,18348,Männlich
75,BMW,2er,65153,Weiblich
55,Toyota,Yaris,15272,Männlich
16,Mercedes,GLA,85219,Männlich
63,Mazda,Mazda6,12810,Weiblich
23,Peugeot,Partner,23514,Weiblich
56,Alfa Romeo,Giulia,39888,Weiblich
68,Honda,Jazz,17132,Männlich
62,Skoda,Kamiq,37015,Weiblich
36,Tesla,Model S,36915,Weiblich
40,Kia,Niro,27408,Weiblich
28,Audi,A5,15171,Männlich
70,Land Rover,Discovery,104775,Weiblich
67,Honda,CR-V,32117,Weiblich
25,Peugeot,508,14748,Weiblich
65,Subaru,Forester,10396,Männlich
76,Porsche,Cayenne,123447,Männlich
77,Porsche,Panamera,156635,Weiblich
68,Volvo,XC40,65971,Weiblich
47,Mitsubishi,ASX,20266,Weiblich
23,Subaru,Outback,13742,Weiblich
41,Mitsubishi,L200,27532,Männlich
60,Skoda,Superb,43835,Männlich
51,Jeep,Grand Cherokee,58996,Männlich
70,BMW,X6,40525,Weiblich
34,Nissan,Qashqai,23810,Weiblich
76,Mitsubishi,Space Star,29711,Weiblich
74,Honda,Jazz,24466,Weiblich
23,Mazda,Mazda2,18012,Männlich
63,Audi,A7,38117,Weiblich
65,Renault,Megane,34846,Männlich
53,Nissan,Navara,42210,Männlich
51,Tesla,Model Y,33983,Weiblich
34,Mazda,Mazda2,27220,Männlich
71,Peugeot,208,10522,Männlich
43,Land Rover,Evoque,43863,Männlich
51,Skoda,Scala,38412,Männlich
42,Mazda,Mazda6,37361,Weiblich
27,Jeep,Grand Cherokee,39820,Weiblich
73,Nissan,Leaf,40293,Weiblich
75,Peugeot,3008,20007,Weiblich
65,Toyota,C-HR,24803,Weiblich
66,Mitsubishi,ASX,25425,Weiblich
25,Honda,Accord,22822,Weiblich
36,Alfa Romeo,Stelvio,43974,Männlich
46,Toyota,Land Cruiser,22681,Männlich
69,Kia,Rio,24572,Weiblich
25,Kia,Niro,33757,Weiblich
21,Honda,HR-V,21645,Weiblich
54,BMW Motorrad,F900R,12719,Männlich
49,Mercedes,E-Klasse,48971,Weiblich
79,Honda,Accord,21516,Männlich
17,Peugeot,508,19127,Männlich
49,Opel,Insignia,19028,Weiblich
45,Alfa Romeo,Giulietta,60142,Männlich
48,Audi,A1,20784,Männlich
76,Skoda,Octavia,25913,Weiblich
29,Volkswagen,Arteon,52298,Weiblich
67,Porsche,Taycan,190887,Weiblich
27,Audi,R8,79140,Weiblich
44,Skoda,Superb,29501,Weiblich
49,Subaru,XV,29932,Männlich
65,Peugeot,308,21744,Männlich
54,Hyundai,i20,40990,Weiblich
27,Kia,Sportage,16492,Weiblich
24,Alfa Romeo,Giulietta,51344,Männlich
67,Citroen,C5,26336,Weiblich
54,Kia,Stonic,40584,Weiblich
53,Citroen,C5 Aircross,21169,Weiblich
47,Tesla,Model 3,54668,Weiblich
20,Tesla,Model 3,62610,Weiblich
17,Mercedes,GLE,134447,Weiblich
37,Subaru,Forester,15310,Weiblich
22,BMW Motorrad,R1200GS,8943,Männlich
62,Honda,HR-V,31206,Weiblich
67,Nissan,Leaf,44105,Männlich
54,Citroen,C5,23731,Weiblich
25,Alfa Romeo,Giulietta,24538,Männlich
59,Opel,Corsa,17576,Männlich
76,Toyota,Land Cruiser,48013,Männlich
76,Nissan,Juke,12868,Weiblich
68,BMW,i3,73789,Weiblich
24,Honda,Accord,8792,Weiblich
36,Land Rover,Discovery,25158,Weiblich
75,Renault,Megane,25539,Weiblich
58,Opel,Mokka,23642,Männlich
34,Alfa Romeo,MiTo,38437,Männlich
65,Jeep,Grand Cherokee,60017,Weiblich
40,Volvo,XC60,72534,Männlich
40,Toyota,RAV4,39936,Männlich
39,Opel,Zafira,29389,Weiblich
39,Mitsubishi,Space Star,36614,Weiblich
15,Subaru,Impreza,41887,Weiblich
56,Jeep,Grand Cherokee,32090,Männlich
54,Jeep,Cherokee,29373,Weiblich
26,Tesla,Model Y,59747,Männlich
22,Tesla,Model Y,57085,Weiblich
74,BMW,X5,114641,Männlich
44,Peugeot,Partner,28671,Weiblich
76,Volkswagen,Golf,31327,Männlich
80,Citroen,C5 Aircross,12965,Weiblich
66,Mazda,CX-5,35170,Weiblich
27,Renault,Megane,29681,Weiblich
58,Land Rover,Range Rover,103935,Männlich
70,BMW,7er,71939,Weiblich
33,Skoda,Fabia,25987,Männlich
42,Kia,Niro,13425,Männlich
34,Subaru,Outback,41060,Weiblich
15,Land Rover,Discovery,49506,Weiblich
71,Honda,Jazz,32167,Männlich
16,Land Rover,Range Rover,55265,Männlich
29,Renault,Captur,18271,Männlich
64,Renault,Megane,11673,Weiblich
68,Mercedes,GLC,58656,Männlich
68,Audi,A7,106337,Weiblich
33,Subaru,XV,40521,Männlich
49,BMW,Z4,39016,Weiblich
22,Volkswagen,Touareg,26778,Weiblich
17,Mazda,Mazda6,32783,Weiblich
69,Audi,A7,16395,Männlich
33,Tesla,Model S,27400,Weiblich
37,Skoda,Superb,30340,Männlich
33,Skoda,Scala,31166,Weiblich
40,Mazda,Mazda2,12442,Weiblich
63,Skoda,Scala,12925,Männlich
19,Ford,Edge,13414,Weiblich
61,Renault,Clio,21734,Männlich
73,Hyundai,Kona,15116,Weiblich
42,Subaru,Forester,42118,Weiblich
44,Opel,Grandland,20946,Männlich
30,Porsche,Taycan,135728,Weiblich
60,Volkswagen,Sharan,66505,Männlich
75,Ford,Fiesta,39725,Weiblich
36,Land Rover,Defender,87214,Weiblich
51,Opel,Mokka,28128,Weiblich
53,Volvo,V90,55048,Weiblich
55,Skoda,Kodiaq,22563,Männlich
66,Mercedes,GLA,54212,Weiblich
16,Nissan,Micra,19657,Weiblich
36,Mazda,CX-5,21481,Männlich
67,Kia,Rio,44185,Männlich
35,Volkswagen,ID.4,13961,Männlich
56,Mitsubishi,L200,13334,Männlich
58,Alfa Romeo,Stelvio,64186,Weiblich
19,Tesla,Model 3,72889,Männlich
41,Volkswagen,Touran,11554,Weiblich
27,Opel,Grandland,24466,Männlich
64,Tesla,Model Y,76132,Weiblich
31,Alfa Romeo,MiTo,53237,Männlich
69,Ford,Mustang,18636,Weiblich
21,Alfa Romeo,Giulia,70331,Männlich
56,Citroen,C3 Aircross,24228,Weiblich
22,Kia,Sportage,28984,Weiblich
35,Mercedes,B-Klasse,81203,Weiblich
77,Kia,Rio,26161,Männlich
46,Volvo,XC60,22830,Männlich
53,Renault,Megane,16015,Weiblich
61,Mitsubishi,L200,32853,Weiblich
33,Volkswagen,ID.4,26694,Weiblich
59,Jeep,Compass,65787,Weiblich
40,Citroen,C3,6235,Weiblich
57,Mazda,Mazda6,28074,Weiblich
45,Toyota,Yaris,14699,Männlich
24,Volkswagen,ID.4,20468,Weiblich
75,Honda,CR-V,32983,Männlich
29,Alfa Romeo,Giulia,54713,Männlich
15,Citroen,C5 Aircross,25791,Weiblich
61,Toyota,Yaris,21254,Männlich
70,Renault,Koleos,13544,Männlich
78,Nissan,X-Trail,15575,Weiblich
60,Volvo,V90,64887,Weiblich
21,Land Rover,Range Rover,82311,Männlich
21,Kia,Seltos,21258,Weiblich
47,Renault,Kadjar,18332,Männlich
60,Kia,Seltos,12252,Weiblich
57,BMW Motorrad,F900R,9661,Weiblich
29,Audi,Q5,48647,Weiblich
65,Opel,Corsa,17322,Männlich
56,Kia,Stonic,14756,Männlich
40,Opel,Astra,16404,Weiblich
68,Honda,Civic,21986,Weiblich
45,Citroen,C5,9321,Weiblich
57,Hyundai,i20,27007,Männlich
40,Ford,Kuga,18196,Männlich
16,Mazda,Mazda3,16274,Männlich
72,Hyundai,Tucson,13506,Weiblich
30,Volvo,V90,17661,Männlich
78,Jeep,Wrangler,23930,Männlich
30,Audi,R8,65510,Männlich
41,Kia,Ceed,38621,Weiblich
24,Subaru,Impreza,12723,Weiblich
15,Volkswagen,ID.3,41778,Männlich
76,Toyota,Yaris,21742,Männlich
61,Nissan,Qashqai,32405,Weiblich
71,Mercedes,A-Klasse,102235,Männlich
51,Volkswagen,Golf,28333,Männlich
32,Land Rover,Evoque,42124,Männlich
44,Ford,Fiesta,19164,Männlich
64,Renault,Talisman,34521,Männlich
39,Volkswagen,Arteon,43554,Männlich
34,BMW Motorrad,R1250GS,20859,Weiblich
36,Peugeot,508,26392,Weiblich
69,Skoda,Kamiq,44304,Männlich
24,Kia,Niro,40448,Männlich
32,Audi,A8,90816,Männlich
74,Citroen,C5,5458,Männlich
18,Mercedes,S-Klasse,128130,Weiblich
80,Toyota,Camry,34159,Männlich
